WIFI_Timestamp,Aligned_ECG,Aligned_Breath,WIFI_Mean_Mag,CSI_Mag_0,CSI_Phase_0,CSI_Mag_1,CSI_Phase_1,CSI_Mag_2,CSI_Phase_2,CSI_Mag_3,CSI_Phase_3,CSI_Mag_4,CSI_Phase_4,CSI_Mag_5,CSI_Phase_5,CSI_Mag_6,CSI_Phase_6,CSI_Mag_7,CSI_Phase_7,CSI_Mag_8,CSI_Phase_8,CSI_Mag_9,CSI_Phase_9,CSI_Mag_10,CSI_Phase_10,CSI_Mag_11,CSI_Phase_11,CSI_Mag_12,CSI_Phase_12,CSI_Mag_13,CSI_Phase_13,CSI_Mag_14,CSI_Phase_14,CSI_Mag_15,CSI_Phase_15,CSI_Mag_16,CSI_Phase_16,CSI_Mag_17,CSI_Phase_17,CSI_Mag_18,CSI_Phase_18,CSI_Mag_19,CSI_Phase_19,CSI_Mag_20,CSI_Phase_20,CSI_Mag_21,CSI_Phase_21,CSI_Mag_22,CSI_Phase_22,CSI_Mag_23,CSI_Phase_23,CSI_Mag_24,CSI_Phase_24,CSI_Mag_25,CSI_Phase_25,CSI_Mag_26,CSI_Phase_26,CSI_Mag_27,CSI_Phase_27,CSI_Mag_28,CSI_Phase_28,CSI_Mag_29,CSI_Phase_29,CSI_Mag_30,CSI_Phase_30,CSI_Mag_31,CSI_Phase_31,CSI_Mag_32,CSI_Phase_32,CSI_Mag_33,CSI_Phase_33,CSI_Mag_34,CSI_Phase_34,CSI_Mag_35,CSI_Phase_35,CSI_Mag_36,CSI_Phase_36,CSI_Mag_37,CSI_Phase_37,CSI_Mag_38,CSI_Phase_38,CSI_Mag_39,CSI_Phase_39,CSI_Mag_40,CSI_Phase_40,CSI_Mag_41,CSI_Phase_41,CSI_Mag_42,CSI_Phase_42,CSI_Mag_43,CSI_Phase_43,CSI_Mag_44,CSI_Phase_44,CSI_Mag_45,CSI_Phase_45,CSI_Mag_46,CSI_Phase_46,CSI_Mag_47,CSI_Phase_47,CSI_Mag_48,CSI_Phase_48,CSI_Mag_49,CSI_Phase_49,CSI_Mag_50,CSI_Phase_50,CSI_Mag_51,CSI_Phase_51
2026-03-04 19:20:15.057010,102.98,44663.68,8.160965919494629,6.7227817,0.2735778,6.729704,0.2955365,6.3505845,0.18318108,8.555231,0.37569353,7.371825,0.30061644,6.8895655,0.24364595,6.5711045,0.1763626,6.9874706,0.24547552,7.494454,0.0846691,6.825723,0.17200051,8.756816,0.21490434,8.855902,0.12652685,7.7248,0.19483006,8.050508,0.05464553,8.381968,0.11644039,10.10434,0.041542128,7.484096,0.10074516,6.8126864,0.17069165,7.520401,0.14743547,9.135726,0.052424088,8.631613,0.040946204,9.290877,0.012544137,7.35499,0.06452548,7.605644,0.039481413,10.339438,-0.00310348,9.151433,0.03332616,8.630207,0.007317924,10.681154,-0.009276372,9.244846,-0.0014896095,9.926913,-0.0454541,8.104718,0.013660931,9.451248,-0.042052623,9.440479,-0.07894872,8.544476,-0.052954245,8.610789,-0.05278263,8.745462,-0.024691997,9.635588,-0.03386133,8.004885,-0.015532437,9.090347,-0.10467699,9.550614,-0.094722286,6.9929733,-0.08509419,8.747765,-0.02816111,7.259532,-0.04190787,9.111717,-0.18405676,7.9869633,-0.13936807,8.100828,-0.17154425,7.4372687,-0.18885435,6.9813027,-0.24773797,8.06949,-0.18450662,7.2706184,-0.06559907,6.9731364,-0.26060012,6.0772076,-0.14945373
2026-03-04 19:20:15.071993,102.98,44663.68,8.170035362243652,6.7393575,0.25188857,6.6985464,0.29088947,6.244928,0.18671891,8.671324,0.3605215,7.3912773,0.3071891,6.7075405,0.24040213,6.471062,0.1944939,6.9486084,0.27018955,7.5733194,0.09879183,6.814828,0.16468576,8.706575,0.17819367,8.900356,0.08014142,7.749738,0.12805493,8.1483555,0.015590998,8.363177,0.12221113,10.166506,0.032320384,7.5592346,0.080075905,6.868543,0.18281797,7.3069363,0.13907927,8.988986,0.06321505,8.621077,0.058063004,9.349138,0.02189862,7.4092646,0.043493938,7.6506376,-0.011465211,10.396136,-0.044621676,9.199962,-0.018396871,8.667066,0.0127936965,10.847049,-0.020849813,9.239024,-0.022684246,9.97767,-0.060428083,8.050851,-0.010727522,9.266605,-0.025282374,9.5544405,-0.08524487,8.668363,-0.0506906,8.758718,-0.047114596,8.896295,-0.043155517,9.6194,-0.085111804,7.990756,-0.07578087,9.210936,-0.1572106,9.446216,-0.11218835,7.1004567,-0.092223115,8.804146,-0.051488206,7.1792006,-0.054229546,8.971719,-0.21346779,7.849337,-0.12779407,8.037129,-0.1923201,7.440587,-0.18263885,7.025043,-0.24554741,8.086754,-0.22488335,7.2523093,-0.12886526,7.139192,-0.32258493,6.1171503,-0.19163498
2026-03-04 19:20:15.076975,102.98,44663.68,8.174943923950195,6.802236,0.2738846,6.7432,0.28259888,6.421069,0.19160233,8.5315,0.378263,7.3745794,0.31704044,6.7918005,0.2333043,6.6519384,0.1775288,7.043034,0.25018436,7.5824766,0.07841292,6.8719587,0.18168704,8.681795,0.22934529,8.874986,0.12137747,7.8058105,0.19179396,8.119726,0.0525395,8.370213,0.119602084,10.304694,0.04997469,7.3681526,0.0952525,6.776508,0.19757614,7.489791,0.14360894,9.168396,0.054529384,8.684156,0.049367227,9.337064,0.012682965,7.3518496,0.068213016,7.607492,0.053485427,10.328209,0.0058173207,9.189757,0.033660777,8.487172,0.013928192,10.78677,-0.0038252824,9.178949,-0.012487706,9.916127,-0.033771157,8.105007,0.005045581,9.508905,-0.0248728,9.542011,-0.07708317,8.560332,-0.04507922,8.585763,-0.058792755,8.723864,-0.008115179,9.730855,-0.02103691,7.959661,-0.010415649,9.242775,-0.09975545,9.4589205,-0.08674811,7.1773148,-0.07340366,8.633493,-0.029076401,7.1152515,-0.019477202,9.071019,-0.17525865,8.001228,-0.12693244,8.083344,-0.17877086,7.490824,-0.1791911,7.058583,-0.23137224,8.10418,-0.18363802,7.194578,-0.05851245,7.0201197,-0.26689735,6.087685,-0.1452235
2026-03-04 19:20:15.087134,102.98,44663.68,8.191079139709473,6.9587092,0.33314607,6.5214205,0.32289317,6.861428,0.23581442,8.204054,0.41172722,7.7361155,0.3314209,6.5710344,0.2534491,6.59713,0.17518252,7.019429,0.24953929,7.6634398,0.09673169,7.2748923,0.20040737,8.729347,0.2707724,8.842552,0.16426833,7.664177,0.23143631,8.18108,0.113094375,8.077716,0.1352525,10.636565,0.080843054,7.0098677,0.13354544,7.018668,0.20848417,7.1422276,0.16502069,9.147552,0.056276765,8.685966,0.050615516,9.429951,0.030169996,7.74559,0.08903367,7.6563945,0.100074284,10.326611,0.03422572,8.963321,0.06586721,8.387297,0.03350747,11.206521,0.02490459,8.845249,0.015124223,10.314629,-0.013341718,7.6229544,0.0368132,9.425854,-0.026312195,9.547111,-0.08056596,8.615403,-0.045616493,8.588818,-0.052561022,9.11759,0.010356527,9.702702,0.011098895,7.905257,0.018930806,9.266101,-0.048496306,9.241007,-0.063019596,7.47196,-0.058560986,8.273173,-0.0027897493,7.452267,-0.0070019756,8.773669,-0.15627313,7.9622602,-0.13911901,8.161215,-0.1709355,7.5679393,-0.18523335,7.1394105,-0.23382519,8.480514,-0.1619768,7.147376,-0.015550366,7.0504556,-0.22172613,6.004162,-0.1307881
2026-03-04 19:20:15.097080,102.98,44663.68,8.185232162475586,6.6880302,0.2824551,6.802788,0.30801842,6.2429423,0.209124,8.633825,0.40680757,7.2462683,0.34240004,7.013589,0.24481252,6.6148863,0.18317436,7.0510306,0.23927337,7.5082035,0.08946645,6.871137,0.16825816,8.7516575,0.23549923,8.994815,0.10679242,7.7345934,0.17254724,8.01148,0.060873356,8.351785,0.13193558,10.160756,0.06877692,7.5853577,0.13142681,6.5750327,0.23593093,7.682186,0.1487738,9.264734,0.06277081,8.688491,0.037842028,9.293439,0.026016796,7.361987,0.051497877,7.621602,0.05057264,10.40219,-0.005798081,9.182509,0.018884888,8.432255,0.033818327,10.654755,0.020304713,9.428427,0.022569587,9.672091,-0.009587854,8.204283,0.020468554,9.541701,-0.011720463,9.483549,-0.09101166,8.726856,-0.049877487,8.467713,-0.04220432,8.743413,-0.017513502,9.842977,-0.021335112,8.075953,-0.029831273,9.080023,-0.089210674,9.470576,-0.06748765,6.972571,-0.04662178,8.8518305,0.0012347953,6.949817,0.012802656,9.214261,-0.16741139,8.092088,-0.12200605,8.137463,-0.18916343,7.6017985,-0.18778971,6.9513383,-0.22737582,8.189356,-0.1934031,7.261538,-0.062189326,7.1270432,-0.26697376,6.1230755,-0.15246958
2026-03-04 19:20:15.102375,102.98,44663.68,8.17191219329834,6.8744087,0.24467787,6.7719264,0.2591822,6.346848,0.15162933,8.587677,0.32730532,7.423804,0.27367395,6.6396265,0.20821252,6.540849,0.16927913,6.8825293,0.25463387,7.7682347,0.074154265,6.699818,0.1742909,8.636147,0.17528975,8.790749,0.088782035,7.883244,0.1568458,8.32799,0.020765549,8.539077,0.093343385,10.126803,0.013120157,7.4333344,0.051196054,6.8698187,0.14081725,7.2783647,0.12545088,9.033231,0.04794143,8.549551,0.03939603,9.471796,0.016791029,7.2679734,0.07459349,7.5699077,0.0029296875,10.360806,-0.037158534,9.268207,0.011624191,8.895306,-0.0048124483,10.740528,-0.031433135,9.111928,-0.04880959,10.107234,-0.06597733,8.0100975,-0.004967695,9.212901,-0.042917073,9.619979,-0.07192954,8.47005,-0.044669587,8.950852,-0.04513992,8.698828,-0.023414196,9.537046,-0.07141194,7.9106183,-0.032428324,9.4083395,-0.13244057,9.6976595,-0.112364985,7.0895004,-0.09547594,8.621014,-0.058079276,7.3662944,-0.06619866,9.038011,-0.19739115,7.722783,-0.1281959,8.119996,-0.16567867,7.1709957,-0.15598284,7.21466,-0.22674946,7.9849157,-0.18476005,7.154468,-0.08191671,6.97695,-0.27855885,6.1657166,-0.16376355
2026-03-04 19:20:15.115847,102.98,44663.68,8.148430824279785,6.7284474,0.21209155,6.7066493,0.24226537,6.280838,0.13138488,8.753195,0.30307922,7.366075,0.27041763,6.5673594,0.20545243,6.602099,0.18070553,6.7524033,0.26697165,7.7033033,0.09304126,6.57803,0.13001573,8.556224,0.10391462,8.806159,0.0060813343,7.830985,0.068428494,8.287758,-0.047165796,8.459234,0.073557936,10.074092,-0.003307797,7.5721407,0.023643978,6.8298407,0.13509241,7.196525,0.11429422,8.923421,0.05255632,8.500295,0.052883357,9.404741,0.016643343,7.320951,0.025295088,7.558166,-0.08422673,10.390488,-0.109567165,9.305322,-0.06700056,8.786201,-0.01572711,10.650288,-0.048475783,9.133671,-0.060852733,10.129891,-0.083320946,8.0997925,-0.038954224,9.125033,-0.026652956,9.670724,-0.07514097,8.485677,-0.045026757,8.945896,-0.03325931,8.754717,-0.06972572,9.496652,-0.14501868,7.9519386,-0.1393708,9.363266,-0.21931642,9.566755,-0.146931,7.0393305,-0.09714441,8.68295,-0.06368485,7.252587,-0.086694166,8.959113,-0.22999659,7.703635,-0.10567143,8.119203,-0.1870418,7.219199,-0.15052743,7.1516757,-0.21777953,7.8830633,-0.23369189,7.171492,-0.17828842,7.1478677,-0.36761394,6.173047,-0.23522447
2026-03-04 19:20:15.122830,102.98,44663.68,8.178345680236816,6.898249,0.2536178,6.595103,0.27237412,6.536398,0.16456687,8.470511,0.3510222,7.532754,0.30078912,6.540217,0.21733992,6.5656233,0.16787055,6.91485,0.25632104,7.7765923,0.09844895,6.8684855,0.15371138,8.618207,0.17149471,8.907812,0.072987095,7.709131,0.1398113,8.343898,0.028059537,8.300197,0.09938938,10.32098,0.028231364,7.352736,0.07471746,6.8673635,0.16932936,7.184112,0.12998284,9.006376,0.054861527,8.680341,0.054967787,9.422023,0.024616357,7.470742,0.051648993,7.537411,-0.011224256,10.427907,-0.045730527,9.154799,-0.007271883,8.646037,0.011417577,10.957259,-0.018614428,9.086913,-0.02268259,10.146468,-0.05183695,7.897457,-0.012280103,9.265266,-0.030838313,9.597876,-0.069811866,8.550454,-0.038990546,8.790599,-0.036902998,8.89017,-0.0349201,9.534938,-0.078105584,7.9007754,-0.07162342,9.321569,-0.13884419,9.48776,-0.10966978,7.296166,-0.08620032,8.585035,-0.03818827,7.2706895,-0.058712434,8.870453,-0.20395806,7.844161,-0.11988503,8.089824,-0.17621803,7.416171,-0.16725805,7.1775217,-0.2314633,8.210466,-0.19150002,7.140378,-0.11125822,7.1655183,-0.29510278,6.131188,-0.19464622
2026-03-04 19:20:15.127570,102.98,44663.68,8.15476131439209,7.0523458,0.25663128,6.205789,0.27995962,6.750664,0.17774971,8.182413,0.34737027,7.94848,0.29631898,6.365207,0.20341282,6.4238987,0.19800591,6.907141,0.2878031,7.601243,0.11470366,7.277344,0.15258718,8.702052,0.15552194,8.758495,0.044943333,7.6957245,0.09592972,8.25136,0.0023268077,7.811081,0.10340972,10.615435,0.02262084,7.0535445,0.06874131,7.2156568,0.16224076,6.7867713,0.11159241,8.956381,0.066573784,8.556859,0.07420024,9.373337,0.037766587,7.903012,0.039585967,7.7080355,-0.03778219,10.302628,-0.079392225,8.9073105,-0.047679503,8.237419,0.018324256,11.421528,-0.03244826,8.638613,-0.026945574,10.44481,-0.051176112,7.456473,-0.0316604,9.290278,-0.015984602,9.501164,-0.06410532,8.650599,-0.026881736,8.69402,-0.03676346,9.425757,-0.04937389,9.541815,-0.10474747,7.9841228,-0.124792725,9.292096,-0.17333329,8.949228,-0.109651156,7.6235857,-0.0992985,8.319287,-0.053637113,7.5676703,-0.053373765,8.468838,-0.22578423,7.828398,-0.11456033,8.051607,-0.16705467,7.4434953,-0.17186879,7.011421,-0.22696415,8.479254,-0.22055632,7.2869053,-0.15016298,7.1246552,-0.34342274,6.002336,-0.22239959
2026-03-04 19:20:15.137302,102.98,44663.68,8.132108688354492,6.4445496,0.23982984,7.0315614,0.28764492,5.8588047,0.17896686,8.903726,0.35973644,6.9460864,0.32356602,7.218202,0.22939938,6.570459,0.16565262,6.943732,0.24119101,7.52083,0.07291284,6.432763,0.14444411,8.62354,0.19776298,8.920853,0.08643049,7.826072,0.14905998,8.017976,0.027042199,8.695183,0.11889844,9.800093,0.036637884,7.934709,0.08977373,6.294812,0.21231897,7.9219275,0.124799296,9.002582,0.050827716,8.712762,0.045653854,9.245935,-0.0034767946,6.999307,0.054739002,7.4644938,0.024914484,10.29482,-0.026019061,9.33409,0.003430414,8.777714,0.030036889,10.229015,-0.01617854,9.672214,-0.006560548,9.4323435,-0.018372132,8.622936,-0.0106880125,9.368759,-0.03076274,9.47108,-0.08402386,8.551328,-0.043643713,8.616206,-0.059797727,8.318237,-0.03132519,9.57114,-0.043550763,8.019121,-0.053371634,9.113036,-0.12813784,9.720343,-0.082189195,6.6181984,-0.07952447,9.063831,-0.026298495,6.756866,0.0070614656,9.494568,-0.19251655,7.918971,-0.121503174,8.13571,-0.18895046,7.431235,-0.17637366,7.034758,-0.25211325,7.59856,-0.1988172,7.0908804,-0.076578766,7.0951447,-0.2966847,6.187595,-0.15819153
